model params: 2,236,682
device: cuda, train batches/epoch: 391
epoch   1/180 | train_loss 1.9553 acc 0.2975 | test_loss 1.7252 acc 0.4292 | lr 0.02000 | 16.3s
epoch   2/180 | train_loss 1.5802 acc 0.5037 | test_loss 1.6826 acc 0.5012 | lr 0.04000 | 15.8s
epoch   3/180 | train_loss 1.3192 acc 0.6394 | test_loss 1.2183 acc 0.6855 | lr 0.06000 | 15.9s
epoch   4/180 | train_loss 1.1433 acc 0.7199 | test_loss 1.1753 acc 0.7015 | lr 0.08000 | 15.9s
epoch   5/180 | train_loss 1.0654 acc 0.7544 | test_loss 1.0782 acc 0.7445 | lr 0.10000 | 15.9s
epoch   6/180 | train_loss 1.0193 acc 0.7757 | test_loss 0.9875 acc 0.7865 | lr 0.09999 | 16.0s
epoch   7/180 | train_loss 0.9872 acc 0.7893 | test_loss 1.0445 acc 0.7587 | lr 0.09997 | 16.0s
epoch   8/180 | train_loss 0.9641 acc 0.7986 | test_loss 1.1051 acc 0.7429 | lr 0.09993 | 16.0s
epoch   9/180 | train_loss 0.9552 acc 0.8025 | test_loss 1.0100 acc 0.7805 | lr 0.09987 | 16.0s
epoch  10/180 | train_loss 0.9417 acc 0.8099 | test_loss 0.9702 acc 0.7932 | lr 0.09980 | 16.0s
epoch  11/180 | train_loss 0.9372 acc 0.8111 | test_loss 0.9860 acc 0.7902 | lr 0.09971 | 16.0s
epoch  12/180 | train_loss 0.9376 acc 0.8094 | test_loss 1.0060 acc 0.7790 | lr 0.09961 | 16.0s
epoch  13/180 | train_loss 0.9327 acc 0.8130 | test_loss 1.0321 acc 0.7666 | lr 0.09949 | 16.0s
epoch  14/180 | train_loss 0.9337 acc 0.8126 | test_loss 0.9906 acc 0.7839 | lr 0.09935 | 16.0s
epoch  15/180 | train_loss 0.9278 acc 0.8134 | test_loss 1.0198 acc 0.7774 | lr 0.09920 | 16.0s
epoch  16/180 | train_loss 0.9376 acc 0.8116 | test_loss 1.1175 acc 0.7294 | lr 0.09903 | 16.0s
epoch  17/180 | train_loss 0.9315 acc 0.8126 | test_loss 1.0350 acc 0.7690 | lr 0.09884 | 16.0s
epoch  18/180 | train_loss 0.9349 acc 0.8118 | test_loss 1.0077 acc 0.7773 | lr 0.09864 | 16.0s
epoch  19/180 | train_loss 0.9341 acc 0.8119 | test_loss 1.0736 acc 0.7485 | lr 0.09843 | 16.0s
epoch  20/180 | train_loss 0.9295 acc 0.8130 | test_loss 0.9414 acc 0.8094 | lr 0.09820 | 16.0s
epoch  21/180 | train_loss 0.9269 acc 0.8147 | test_loss 0.9803 acc 0.7896 | lr 0.09795 | 16.0s
epoch  22/180 | train_loss 0.9264 acc 0.8146 | test_loss 1.0569 acc 0.7646 | lr 0.09769 | 16.0s
epoch  23/180 | train_loss 0.9268 acc 0.8153 | test_loss 0.9723 acc 0.7963 | lr 0.09741 | 16.0s
epoch  24/180 | train_loss 0.9264 acc 0.8147 | test_loss 1.0607 acc 0.7558 | lr 0.09712 | 16.0s
epoch  25/180 | train_loss 0.9246 acc 0.8168 | test_loss 0.9627 acc 0.7955 | lr 0.09681 | 16.0s
epoch  26/180 | train_loss 0.9249 acc 0.8154 | test_loss 0.9773 acc 0.7915 | lr 0.09649 | 16.0s
epoch  27/180 | train_loss 0.9258 acc 0.8149 | test_loss 1.0143 acc 0.7774 | lr 0.09615 | 16.0s
epoch  28/180 | train_loss 0.9298 acc 0.8125 | test_loss 0.9717 acc 0.7944 | lr 0.09580 | 16.0s
epoch  29/180 | train_loss 0.9218 acc 0.8167 | test_loss 1.0498 acc 0.7551 | lr 0.09543 | 16.0s
epoch  30/180 | train_loss 0.9180 acc 0.8186 | test_loss 1.0404 acc 0.7679 | lr 0.09505 | 16.0s
epoch  31/180 | train_loss 0.9222 acc 0.8175 | test_loss 1.1578 acc 0.7134 | lr 0.09465 | 16.0s
epoch  32/180 | train_loss 0.9245 acc 0.8138 | test_loss 1.0763 acc 0.7521 | lr 0.09424 | 16.0s
epoch  33/180 | train_loss 0.9165 acc 0.8181 | test_loss 1.0401 acc 0.7693 | lr 0.09382 | 16.0s
epoch  34/180 | train_loss 0.9205 acc 0.8165 | test_loss 0.9643 acc 0.8013 | lr 0.09338 | 16.0s
epoch  35/180 | train_loss 0.9167 acc 0.8207 | test_loss 1.0270 acc 0.7727 | lr 0.09292 | 16.0s
epoch  36/180 | train_loss 0.9201 acc 0.8183 | test_loss 0.9802 acc 0.7931 | lr 0.09246 | 16.0s
epoch  37/180 | train_loss 0.9174 acc 0.8185 | test_loss 0.9849 acc 0.7878 | lr 0.09197 | 16.0s
epoch  38/180 | train_loss 0.9194 acc 0.8190 | test_loss 1.0066 acc 0.7773 | lr 0.09148 | 16.0s
epoch  39/180 | train_loss 0.9177 acc 0.8195 | test_loss 1.0021 acc 0.7779 | lr 0.09097 | 16.0s
epoch  40/180 | train_loss 0.9101 acc 0.8232 | test_loss 1.0066 acc 0.7765 | lr 0.09045 | 16.0s
epoch  41/180 | train_loss 0.9134 acc 0.8208 | test_loss 0.9773 acc 0.7967 | lr 0.08992 | 16.0s
epoch  42/180 | train_loss 0.9112 acc 0.8188 | test_loss 0.9850 acc 0.7869 | lr 0.08937 | 16.0s
epoch  43/180 | train_loss 0.9107 acc 0.8214 | test_loss 1.0043 acc 0.7741 | lr 0.08881 | 16.0s
epoch  44/180 | train_loss 0.9095 acc 0.8217 | test_loss 0.9390 acc 0.8148 | lr 0.08824 | 16.0s
epoch  45/180 | train_loss 0.9133 acc 0.8199 | test_loss 1.0216 acc 0.7692 | lr 0.08765 | 16.0s
epoch  46/180 | train_loss 0.9124 acc 0.8209 | test_loss 1.2460 acc 0.6771 | lr 0.08706 | 16.0s
epoch  47/180 | train_loss 0.9047 acc 0.8226 | test_loss 1.0758 acc 0.7461 | lr 0.08645 | 15.9s
epoch  48/180 | train_loss 0.9094 acc 0.8213 | test_loss 1.0584 acc 0.7591 | lr 0.08583 | 15.9s
epoch  49/180 | train_loss 0.9096 acc 0.8239 | test_loss 1.0151 acc 0.7748 | lr 0.08520 | 16.0s
epoch  50/180 | train_loss 0.9057 acc 0.8231 | test_loss 0.9421 acc 0.8107 | lr 0.08455 | 15.9s
epoch  51/180 | train_loss 0.9050 acc 0.8236 | test_loss 0.9318 acc 0.8058 | lr 0.08390 | 16.0s
epoch  52/180 | train_loss 0.9026 acc 0.8252 | test_loss 1.0146 acc 0.7762 | lr 0.08323 | 16.0s
epoch  53/180 | train_loss 0.9063 acc 0.8246 | test_loss 0.9925 acc 0.7842 | lr 0.08256 | 15.9s
epoch  54/180 | train_loss 0.9021 acc 0.8266 | test_loss 1.0038 acc 0.7827 | lr 0.08187 | 15.9s
epoch  55/180 | train_loss 0.8987 acc 0.8267 | test_loss 0.9551 acc 0.7993 | lr 0.08117 | 16.0s
epoch  56/180 | train_loss 0.9005 acc 0.8249 | test_loss 1.0228 acc 0.7765 | lr 0.08047 | 15.9s
epoch  57/180 | train_loss 0.8953 acc 0.8307 | test_loss 0.9620 acc 0.7933 | lr 0.07975 | 15.9s
epoch  58/180 | train_loss 0.8992 acc 0.8263 | test_loss 0.9351 acc 0.8076 | lr 0.07902 | 16.0s
epoch  59/180 | train_loss 0.8990 acc 0.8278 | test_loss 0.9894 acc 0.7914 | lr 0.07829 | 15.9s
epoch  60/180 | train_loss 0.8984 acc 0.8261 | test_loss 0.9557 acc 0.8040 | lr 0.07754 | 15.9s
epoch  61/180 | train_loss 0.8926 acc 0.8300 | test_loss 0.9804 acc 0.7898 | lr 0.07679 | 16.0s
epoch  62/180 | train_loss 0.9004 acc 0.8254 | test_loss 1.0764 acc 0.7521 | lr 0.07603 | 16.0s
epoch  63/180 | train_loss 0.8964 acc 0.8263 | test_loss 1.0958 acc 0.7493 | lr 0.07526 | 16.0s
epoch  64/180 | train_loss 0.8963 acc 0.8272 | test_loss 0.9235 acc 0.8109 | lr 0.07448 | 15.9s
epoch  65/180 | train_loss 0.8898 acc 0.8321 | test_loss 0.9356 acc 0.8108 | lr 0.07369 | 16.0s
epoch  66/180 | train_loss 0.8913 acc 0.8298 | test_loss 0.9629 acc 0.7999 | lr 0.07290 | 15.9s
epoch  67/180 | train_loss 0.8914 acc 0.8290 | test_loss 0.9462 acc 0.8014 | lr 0.07210 | 16.0s
epoch  68/180 | train_loss 0.8884 acc 0.8311 | test_loss 1.0908 acc 0.7479 | lr 0.07129 | 15.9s
epoch  69/180 | train_loss 0.8890 acc 0.8305 | test_loss 0.9934 acc 0.7810 | lr 0.07047 | 15.9s
