config,policy,high_bits,low_bits,frac_high,act_policy,num_high_precision_layers,avg_weight_bits,avg_activation_bits,test_accuracy,test_loss,compressed_model_mb,compressed_weight_mb,fp32_model_mb,scale_metadata_kb,weight_compression_ratio,weight_only_compression_ratio,activation_mb,activation_compression_ratio,total_compression_ratio,eval_seconds,on_pareto_front
uniform_w32a32,uniform,32,32,1.0,uniform,53,32.0,32.0,0.9318,0.30320284457206725,8.662391662597656,8.402099609375,8.662391662597656,0.0,1.0,1.0,6.1943359375,1.0,1.0,1.0065360069274902,1
uniform_w8a8,uniform,8,8,1.0,uniform,53,8.0,8.0,0.9278,0.3120779746055603,2.4261207580566406,2.10052490234375,8.662391662597656,66.87109375,3.5704701152371174,4.0,1.548583984375,4.0,3.737819174716516,1.6547269821166992,0
uniform_w4a8,uniform,4,4,1.0,uniform,53,4.0,8.0,0.9075,0.38249151120185854,1.3758583068847656,1.050262451171875,8.662391662597656,66.87109375,6.295991105516632,8.0,1.548583984375,4.0,5.080191749551606,1.6637661457061768,1
uniform_w4a4,uniform,4,4,1.0,uniform,53,4.0,4.0,0.2183,2.6262711666107177,1.3758583068847656,1.050262451171875,8.662391662597656,66.87109375,6.295991105516632,8.0,0.7742919921875,8.0,6.909622832649397,1.6637732982635498,1
uniform_w2a8,uniform,2,2,1.0,uniform,53,2.0,8.0,0.127,2.689061755371094,0.8507270812988281,0.5251312255859375,8.662391662597656,66.87109375,10.182339146148431,16.0,1.548583984375,4.0,6.192080640417194,1.6577796936035156,0
hawq_w8-4_top10_a8,hawq-v2,8,4,0.1,fixed,5,4.377358490566038,8.0,0.9156,0.35264683265686037,1.3799476623535156,1.054351806640625,8.662391662597656,66.87109375,6.277333480766838,7.968971605545747,1.548583984375,4.0,5.073097849802721,1.6571474075317383,1
hawq_w8-4_top10_amix,hawq-v2,8,4,0.1,mixed,5,4.377358490566038,4.377358490566038,0.4584,1.7249345254898072,1.3799476623535156,1.054351806640625,8.662391662597656,66.87109375,6.277333480766838,7.968971605545747,0.9168701171875,6.755957928371721,6.468396288305705,1.6645839214324951,1
hawq_w8-4_top25_a8,hawq-v2,8,4,0.25,fixed,13,4.981132075471698,8.0,0.9228,0.3333702654838562,1.3950767517089844,1.0694808959960938,8.662391662597656,66.87109375,6.209258130053512,7.856240949072258,1.548583984375,4.0,5.047024413506932,1.6656224727630615,1
hawq_w8-4_top25_amix,hawq-v2,8,4,0.25,mixed,13,4.981132075471698,4.981132075471698,0.6485,1.1614914482116698,1.3950767517089844,1.0694808959960938,8.662391662597656,66.87109375,6.209258130053512,7.856240949072258,1.0765380859375,5.753940356049439,6.010939639059821,1.6589951515197754,1
hawq_w8-4_top50_a8,hawq-v2,8,4,0.5,fixed,26,5.962264150943396,8.0,0.9269,0.316152131652832,1.7240943908691406,1.39849853515625,8.662391662597656,66.87109375,5.024314044795901,6.00794308907607,1.548583984375,4.0,4.5396234816350844,1.6698923110961914,1
hawq_w8-4_top50_amix,hawq-v2,8,4,0.5,mixed,26,5.962264150943396,5.962264150943396,0.8368,0.9942488494873047,1.7240943908691406,1.39849853515625,8.662391662597656,66.87109375,5.024314044795901,6.00794308907607,1.3170166015625,4.7033089257577165,4.885296076687544,1.6555352210998535,0
hawq_w8-4_top75_a8,hawq-v2,8,4,0.75,fixed,40,7.018867924528302,8.0,0.9294,0.3138361923694611,2.0357398986816406,1.71014404296875,8.662391662597656,66.87109375,4.255156401958561,4.913094685748956,1.548583984375,4.0,4.144917726415988,1.6540687084197998,1
hawq_w8-4_top75_amix,hawq-v2,8,4,0.75,mixed,40,7.018867924528302,7.018867924528302,0.8743,0.9872945707321167,2.0357398986816406,1.71014404296875,8.662391662597656,66.87109375,4.255156401958561,4.913094685748956,1.4390869140625,4.3043515141233355,4.275530379128449,1.6683897972106934,0
hawq_w8-2_top10_a8,hawq-v2,8,2,0.1,fixed,5,2.5660377358490565,8.0,0.1012,2.746568087005615,0.8568611145019531,0.5312652587890625,8.662391662597656,66.87109375,10.10944657890402,15.81526265904587,1.548583984375,4.0,6.176290453286138,1.6540791988372803,0
hawq_w8-2_top10_amix,hawq-v2,8,2,0.1,mixed,5,2.5660377358490565,2.5660377358490565,0.1,2.303108158111572,0.8568611145019531,0.5312652587890625,8.662391662597656,66.87109375,10.10944657890402,15.81526265904587,0.60101318359375,10.306489286076978,10.190678043713188,1.6483018398284912,1
hawq_w8-2_top25_a8,hawq-v2,8,2,0.25,fixed,13,3.4716981132075473,8.0,0.1026,2.598007094192505,0.8795547485351562,0.5539588928222656,8.662391662597656,66.87109375,9.848609966604501,15.167370211476618,1.548583984375,4.0,6.118566208237893,1.675873041152954,0
hawq_w8-2_top25_amix,hawq-v2,8,2,0.25,mixed,13,3.4716981132075473,3.4716981132075473,0.1,2.303108158111572,0.8795547485351562,0.5539588928222656,8.662391662597656,66.87109375,9.848609966604501,15.167370211476618,0.84051513671875,7.369689928109796,8.637281384590136,1.657562017440796,0
hawq_w8-2_top50_a8,hawq-v2,8,2,0.5,fixed,26,4.943396226415095,8.0,0.6575,1.302684183883667,1.3730812072753906,1.0474853515625,8.662391662597656,66.87109375,6.30872494408868,8.021209649225032,1.548583984375,4.0,5.085020570651145,1.663940668106079,1
hawq_w8-2_top50_amix,hawq-v2,8,2,0.5,mixed,26,4.943396226415095,4.943396226415095,0.1,2.303108158111572,1.3730812072753906,1.0474853515625,8.662391662597656,66.87109375,6.30872494408868,8.021209649225032,1.20123291015625,5.156648544281286,5.7711401648684655,1.6692767143249512,0
hawq_w8-2_top75_a8,hawq-v2,8,2,0.75,fixed,40,6.528301886792453,8.0,0.8848,0.6744691408157348,1.8405494689941406,1.51495361328125,8.662391662597656,66.87109375,4.7064161048231155,5.546110148664438,1.548583984375,4.0,4.38363605461702,1.661949872970581,0
hawq_w8-2_top75_amix,hawq-v2,8,2,0.75,mixed,40,6.528301886792453,6.528301886792453,0.1,2.303108158111572,1.8405494689941406,1.51495361328125,8.662391662597656,66.87109375,4.7064161048231155,5.546110148664438,1.38433837890625,4.474582249459901,4.606897449091242,1.6565303802490234,0
